# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.0924865781355497,5.0,-179.995846360695,0,3.0,0.022484450489322825,0.0,0.0,0.0
 0.0660411836489038,2.0859444212461185,4.999999525728417,-179.995846360695,0.19812355094671139,3.0,0.022484450489322825,0.0,0.30933169230139834,0.0
 0.09313461545725489,2.0794754934129847,4.999998110532486,-179.98746550358348,0.2794038463717647,3.0000000000000004,0.02298027008801445,0.0,0.4109198912749707,0.0
 0.11374554676555518,2.073079504623816,4.999995765840441,-179.9789960619312,0.3412366402966655,2.999999999999998,0.023491629732471302,0.0,0.4969119391453607,0.0
 0.13097179012495103,2.066756164866278,4.99999250308051,-179.9704361359393,0.392915370374853,2.9999999999999982,0.024019169693972192,0.0,0.5750958950216147,0.0
 0.1460168867894715,2.060505184128038,4.9999883336809265,-179.96178376260733,0.43805066036841445,3.0,0.024563573486675434,0.0,0.6487327481197767,0.0
 0.15949986551392187,2.0543262723967644,4.999983269069919,-179.95303691276658,0.47849959654176555,3.0,0.02512554999073185,0.0,0.7195842603095783,0.0
 0.17178949576341127,2.0482191396601226,4.99997732067572,-179.94419348827404,0.5153684872902337,2.9999999999999933,0.025705851592377087,0.0,0.7887441046758368,0.0
 0.1831267209526448,2.04218349590578,4.99997049992656,-179.93525131874262,0.5493801628579342,3.0,0.026305274130579023,0.0,0.8569569674707508,0.0
 0.19367936324646762,2.0362190511214027,4.99996281825067,-179.9262081584037,0.5810380897394027,3.0000000000000027,0.026924646908919252,0.0,0.9247659314303278,0.0
 0.2035699480485227,2.030325515294659,4.999954287076281,-179.91706168253683,0.610709844145568,3.0,0.027564851967042486,0.0,0.9925892651593717,0.0
 0.21289122424664284,2.024502598413215,4.999944917831623,-179.907809483845,0.6386736727399284,2.999999999999997,0.028226816901026883,0.0,1.0607640952552055,0.0
 0.22171544379514505,2.018750010464737,4.999934721944929,-179.8984490685793,0.665146331385435,3.0,0.02891152506693094,0.0,1.1295729521325486,0.0
 0.23010021979111583,2.0130674614368935,4.9999237108444285,-179.88897785240454,0.6903006593733474,3.000000000000003,0.029620008326349187,0.0,1.1992607787938683,0.0
 0.23809239001770657,2.0074546613173503,4.999911895958352,-179.8793931561144,0.7142771700531196,3.0000000000000036,0.030353362896828228,0.0,1.2700463521073357,0.0
 0.24573065856261586,2.0019113200937744,4.999899288714931,-179.8696922010125,0.7371919756878476,3.000000000000007,0.031112745050052508,0.0,1.3421302397977837,0.0
 0.25304745740414825,1.9964371477538325,4.999885900542397,-179.85987210402877,0.7591423722124448,3.000000000000019,0.03189938128817519,0.0,1.4157005413355344,0.0
 0.2600702924950896,1.9910318542851926,4.99987174286898,-179.8499298725888,0.780210877485269,3.0,0.03271456831974951,0.0,1.4909371807083265,0.0
 0.2668227389255875,1.985695149675521,4.999856827122913,-179.83986239914483,0.8004682167767626,3.0,0.03355967852650432,0.0,1.5680152193718315,0.0
 0.2733251910038003,1.9804267439124836,4.999841164732423,-179.82966645532295,0.819975573011401,2.9999999999999916,0.03443617002583756,0.0,1.647107463501438,0.0
 0.27959543729775466,1.9752263469837488,4.999824767125744,-179.81933868585418,0.838786311893264,3.0,0.035345586086945754,0.0,1.7283866468473097,0.0
 0.2856491081726235,1.9700936688769828,4.9998076457311065,-179.80887560194967,0.8569473245178706,3.0,0.03628957030249417,0.0,1.812027254836052,0.0
 0.2915000288065625,1.9650284195798526,4.99978981197674,-179.79827357429508,0.8745000864196877,3.000000000000019,0.03726986099086238,0.0,1.898207086266897,0.0
 0.297160501028759,1.960030309080025,4.999771277290877,-179.78752882581128,0.8914815030862773,3.0000000000000098,0.038288313214934484,0.0,1.987108757863811,0.0
 0.30264153079653866,1.9550990473651673,4.999752053101749,-179.77663742355762,0.9079245923896162,3.0,0.03934689249844908,0.0,2.0789209815692673,0.0
 0.30795301362167204,1.9502343444229457,4.999732150837584,-179.76559527046922,0.9238590408650164,3.0,0.04044769989195705,0.0,2.1738398642000574,0.0
 0.3131038870885558,1.945435910241028,4.999711581926616,-179.75439809639144,0.9393116612656676,2.9999999999999893,0.041592968177199714,0.0,2.2720701707533433,0.0
 0.31810225734467934,1.9407034548070805,4.999690357797074,-179.74304144843015,0.9543067720340381,2.999999999999989,0.042785074854729196,0.0,2.3738265276516315,0.0
 0.32295550480414525,1.93603668810877,4.99966848987719,-179.73152068086557,0.9688665144124359,3.0,0.04402656245531657,0.0,2.4793347259929814,0.0
 0.32767037310059133,1.931435320133764,4.999645989595195,-179.7198309441697,0.9830111193017741,3.0,0.04532014117224447,0.0,2.5888330063034326,0.0
 0.33225304443013826,1.9268990608697292,4.999622868379318,-179.70796717337475,0.9967591332904149,3.0,0.04666870951202121,0.0,2.7025734069534773,0.0
 0.3367092037512022,1.9224276203043325,4.999599137657793,-179.6959240756965,1.0101276112536068,3.0000000000000124,0.04807536337035321,0.0,2.800862434044203,0.0
 0.3410749871362631,1.91802070842524,4.999574808858849,-179.6836961170181,1.0087444420176876,-0.31682039943901186,0.04954342081691995,0.0,2.86604186720874,0.0
 0.34540800455550175,1.91367803522012,4.999549893410717,-179.67127750768321,0.9957453897599718,-2.9999999999999742,0.05107643020122354,0.0,2.916658625798807,0.0
 0.34973326921603026,1.9093993106766385,4.999524402741628,-179.65866218720222,0.9827695957783863,-3.0,0.0526782011850039,0.0,2.9689356831993585,0.0
